ERROR - 2020-01-16 12:42:32,704 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run611___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:42:32,704 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run2135___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:42:32,705 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run771___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:42:32,705 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run287___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:42:32,705 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run315___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:42:32,705 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run275___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:42:32,705 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run1698___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:42:32,705 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run27___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:42:32,705 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run1877___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:42:32,705 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run127___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:42:32,706 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run1885___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:44:42,275 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run2154___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:44:42,276 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run670___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:44:42,276 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run710___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:44:42,276 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run2034___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:44:42,276 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run682___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:44:42,276 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run522___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:44:42,276 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run2206___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:44:42,277 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run1559___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:44:42,277 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run1984___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:44:42,277 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run46___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:44:42,277 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run1816___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:44:42,277 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run1439___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
